config,attack,watermark,conf,bit_acc,bits,pesq
AU_AW,mp3_64,AudioSeal,,1.0,,3.988
AU_AW,mp3_64,AWARE,,1.0,,3.988
AU_AW,aac_128,AudioSeal,,1.0,,3.979
AU_AW,aac_128,AWARE,,1.0,,3.979
AU_AW,opus_64,AudioSeal,,1.0,,3.985
AU_AW,opus_64,AWARE,,1.0,,3.985
AU_AW,resample_8k,AudioSeal,,1.0,,3.587
AU_AW,resample_8k,AWARE,,1.0,,3.587
AU_AW,lowpass_4k,AudioSeal,,0.94,,4.033
AU_AW,lowpass_4k,AWARE,,1.0,,4.033
AU_AW,highpass_500,AudioSeal,,0.94,,3.985
AU_AW,highpass_500,AWARE,,1.0,,3.985
AU_AW,quantize_8bit,AudioSeal,,1.0,,2.278
AU_AW,quantize_8bit,AWARE,,1.0,,2.278
AU_AW,echo,AudioSeal,,1.0,,2.179
AU_AW,echo,AWARE,,1.0,,2.179
AU_AW,sample_suppress,AudioSeal,,1.0,,3.875
AU_AW,sample_suppress,AWARE,,1.0,,3.875
AU_AW,noise_20db,AudioSeal,,1.0,,1.953
AU_AW,noise_20db,AWARE,,1.0,,1.953
AU_AW,noise_10db,AudioSeal,,0.88,,1.256
AU_AW,noise_10db,AWARE,,1.0,,1.256
AU_AW,noise_5db,AudioSeal,,0.75,,1.131
AU_AW,noise_5db,AWARE,,0.95,,1.131
AU_AW,tempo_up_10,AudioSeal,,0.62,,
AU_AW,tempo_up_10,AWARE,,1.0,,
AU_AW,tempo_down_10,AudioSeal,,0.62,,
AU_AW,tempo_down_10,AWARE,,1.0,,
AU_AW,denoise,AudioSeal,,0.62,,3.831
AU_AW,denoise,AWARE,,1.0,,3.831
AU_AW,crop_30s,AudioSeal,,1.0,,
AU_AW,crop_30s,AWARE,,0.85,,
AU_AW,crop_10s,AudioSeal,,1.0,,
AU_AW,crop_10s,AWARE,,0.65,,
AU_AW,crop_5s,AudioSeal,,1.0,,
AU_AW,crop_5s,AWARE,,0.7,,
AU_AW,crop_3s,AudioSeal,,1.0,,
AU_AW,crop_3s,AWARE,,0.7,,
AU_AW,pitch_up,AudioSeal,,0.75,,
