test,conf,bit_accuracy,pesq
baseline,0.998,1.0,4.3
noise_20db,0.991,1.0,1.79
noise_10db,0.926,1.0,1.2
mp3_128,0.998,1.0,4.25
mp3_64,0.998,1.0,4.22
aac_128,0.998,1.0,4.23
opus_64,0.998,1.0,4.29
resample_8k,0.996,1.0,3.82
lowpass_4k,0.998,1.0,4.27
highpass_500,0.998,1.0,4.28
volume_0.5,0.998,1.0,4.3
quantize_8bit,0.995,1.0,2.22
echo,0.979,1.0,2.25
speed_110,0.995,1.0,
pitch_up,0.071,0.6,
crop_30s,0.766,0.8,
sample_suppress,0.997,1.0,4.08
