test,conf,bit_accuracy,pesq
baseline,1.0,1.0,3.53
noise_20db,1.0,1.0,1.97
noise_10db,1.0,1.0,1.28
mp3_128,1.0,1.0,3.52
mp3_64,1.0,1.0,3.51
aac_128,1.0,1.0,3.51
opus_64,1.0,1.0,3.51
resample_8k,1.0,1.0,3.28
lowpass_4k,1.0,1.0,3.61
highpass_500,1.0,1.0,3.58
volume_0.5,1.0,1.0,3.52
quantize_8bit,1.0,1.0,2.16
echo,1.0,1.0,2.24
speed_110,1.0,1.0,
pitch_up,0.2,0.2,
crop_30s,1.0,1.0,
sample_suppress,1.0,1.0,3.45
