test,conf,bit_accuracy,pesq
baseline,1.0,1.0,4.19
noise_20db,0.489,1.0,1.81
noise_10db,0.335,0.812,1.22
mp3_128,1.0,1.0,4.15
mp3_64,1.0,1.0,4.14
aac_128,1.0,1.0,4.13
opus_64,1.0,1.0,4.18
resample_8k,1.0,1.0,3.73
lowpass_4k,1.0,1.0,4.16
highpass_500,1.0,0.938,4.19
volume_0.5,0.976,1.0,4.19
quantize_8bit,0.628,1.0,2.18
echo,0.999,1.0,2.28
speed_110,0.419,0.625,
pitch_up,0.001,0.812,
crop_30s,0.999,1.0,
sample_suppress,1.0,1.0,4.0
